qqWlvH125   ggZvvH125  qqZvvH125   ggZllH125    qqZllH125    ZZ        WZ         WW          Zl          Zcc         Zcl         Zbc       Zbb         Zbl        Wl          Wcc        Wcl        Wbl        Wbc       Wbb        stopWt     stopt      stops      ttbar
15          15         15          15           15           15        15         15          15          15          15          15        15          15         15          15         15         15         15        15         15         15         15         15
10.0641     11.4198    29.9956     0.0768613    0.292204     97.4455   38.9308    4.18281     17.0032     98.39       43.067      150.897   2106.66     134.539    19.0439     51.7932    43.4851    66.1497    56.3819   712.22     251.318    275.418    43.827     3400.53
0.152414    0.167173   0.144275    0.00561243   0.00879069   3.68598   2.07642    0.288382    0.0595919   0.884715    0.281964    8.54604   20.0575     9.01955    0.165178    1.18641    0.529303   5.78537    4.44459   14.2619    11.1954    11.6166    1.93584    38.244
0.0151443   0.0146389  0.00480987  0.0730202    0.0300841    0.037826  0.0533361  0.0689444   0.00350474  0.00899192  0.00654711  0.056635  0.00952099  0.0670406  0.00867354  0.0229066  0.012172   0.0874588  0.07883   0.0200245  0.0445466  0.0421781  0.0441699  0.0112465
0.066308    0.0151011  0.0102222   0.000498485  0.000544582  0.346508  0.277417   0.0756436   0.0273057   0.366977    0.120592    2.91826   8.76538     5.89717    0.0649928   0.392795   0.207342   2.60849    1.59275   2.88053    3.99483    5.17287    0.935666   16.8942
0.00897029  0.0152733  0.0166191   0.000740705  0.00073665   0.512554  0.464412   0.118795    0.0273177   0.43392     0.13777     2.6865    8.91291     3.45373    0.086342    0.710082   0.216354   2.81816    1.99076   7.03546    4.09511    6.33479    0.820901   14.4371
0.0186439   0.0211006  0.021308    0.000704844  0.00332262   1.17959   0.643417   0.163282    0.025213    0.3637      0.117637    6.29054   8.5325      2.68797    0.0607419   0.580009   0.174301   2.30918    2.56382   6.00981    3.41619    4.0484     0.564174   15.3604
0.0263052   0.0414051  0.0296607   0.000900122  0.00142075   1.40671   0.807706   0.0761757   0.0197382   0.317752    0.0971902   1.8501    6.74698     1.89035    0.0487187   0.364305   0.170862   1.29579    1.39348   5.05399    4.99747    4.02994    0.537509   13.2279
0.0271623   0.0400363  0.0354505   0.00117649   0.00246295   1.5021    0.72107    0.116961    0.0171371   0.242426    0.0757656   1.97886   5.66209     3.39793    0.0414882   0.270368   0.236189   2.01158    1.27562   6.00969    3.30668    3.22917    0.874743   12.5171
0.0272456   0.0469192  0.0376769   0.00221723   0.00297161   1.46165   0.750984   0.0308708   0.0142811   0.21691     0.0709371   1.71855   5.35881     1.27731    0.0473179   0.254641   0.129546   1.16579    0.868054  2.54111    3.25673    2.85165    0.551824   10.2082
0.0763176   0.0475674  0.0426214   0.00164188   0.0018191    1.30741   0.650309   0.0248541   0.0139172   0.185688    0.0567002   1.6405    4.26574     1.59314    0.0485602   0.168371   0.15471    0.811475   0.782569  4.63174    3.18349    2.15993    0.412875   8.83069
0.0295721   0.0501378  0.0448656   0.00155244   0.00183953   1.18637   0.487428   0.0337775   0.0109284   0.158097    0.0552494   1.10946   3.73087     1.4905     0.0389097   0.212024   0.122084   1.76743    0.904831  1.8571     1.60597    2.07208    0.413991   7.06898
0.034753    0.0529446  0.0431752   0.00198383   0.00209423   0.776341  0.840429   0.00924164  0.0087392   0.147706    0.0450131   1.14849   3.60368     1.71114    0.0328212   0.153142   0.108907   0.791264   0.548272  2.05368    1.77428    2.30287    0.195828   6.46567
0.040157    0.0499843  0.0432995   0.00191907   0.00279856   0.871425  0.393333   0.0195965   0.00819199  0.111802    0.0401252   0.741523  2.76228     1.02143    0.0180361   0.134282   0.0516773  0.600076   0.439478  1.74181    1.26738    1.00501    0.334708   6.23135
0.0357496   0.0508366  0.0445262   0.00148649   0.00288956   0.513125  0.385225   0.105829    0.00529426  0.104653    0.0306833   0.875314  2.09648     0.864791   0.00877429  0.0851165  0.0393127  0.451726   0.399969  1.59249    2.70774    1.07591    0.11093    6.27065
0.0349195   0.0463591  0.0430337   0.00159828   0.00213507   0.534353  0.238916   0.0512024   0.00424885  0.0748324   0.0196182   0.660482  2.06565     0.808349   0.00666813  0.0938126  0.0296644  0.19712    0.319572  1.56491    1.39208    0.661682   0.0859409  3.52631
0.0447387   0.0452437  0.0420996   0.00150016   0.00194612   0.436353  0.299541   0.00471599  0.00482768  0.0653367   0.0200392   0.360903  1.63483     0.657288   0.011148    0.0724607  0.0381142  0.131473   0.222472  1.46456    1.47959    0          0.0964448  5.35413
0.0358707   0.0519951  0.0405422   0.00153956   0.00286249   0.37788   0.203185   0.0118641   0.00268651  0.0620386   0.0135742   0.519083  1.47676     0.23764    0.00737815  0.0646023  0.0246404  0.341724   0.292655  1.1616     2.22349    0          0          2.0227
0.0304653   0.0442676  0.0400685   0.00099291   0.00216381   0.282357  0.102782   0.00452446  0.00178766  0.0472798   0.0104056   0.212408  0.825179    0.224902   0.00258489  0.0415931  0.0190765  1.07792    0.191318  0.859486   0.742451   0          0          1.96442


qqWlvH125  ggZvvH125  qqZvvH125   ggZllH125    qqZllH125    ZZ           WZ           WW           Zl           Zcc          Zcl          Zbc         Zbb         Zbl         Wl           Wcc          Wcl          Wbl          Wbc          Wbb        stopWt      stopt       stops        ttbar       signal     background
0.2        0.2        0.2         0.2          0.2          0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316   0.0526316   0.0526316   0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316  0.0526316   0.0526316   0.0526316    0.0526316   33.541     65.3835
0.0895129  0.115253   0.795153    5.22097e-06  7.54585e-05  0.000567715  9.06137e-05  1.04603e-06  1.7285e-05   0.000578774  0.000110891  0.00136135  0.265336    0.00108219  2.1683e-05   0.000160381  0.000113055  0.000261615  0.000190058  0.0303274  0.00377619  0.00453515  0.000114839  0.691354    33.6382    4089.75
0.322188   0.387607   0.288697    0.000436879  0.00107178   0.00530614   0.00168385   3.24795e-05  1.38691e-06  0.000305689  3.10499e-05  0.0285235   0.157118    0.0317719   1.06556e-05  0.000549721  0.000109416  0.0130718    0.00771501   0.0794379  0.04895     0.0527025   0.00146357   0.571215    0.268516   50.6015
0.034212   0.0319666  0.00345101  0.795364     0.135006     0.0378414    0.0752365    0.125714     0.000324861  0.00213841   0.00113367   0.0848312   0.00239745  0.118867    0.00198966   0.0138774    0.00391841   0.202299     0.16435      0.010605   0.0524826   0.04705     0.0515987    0.00334519  0.0818766  0.19445
0.929579   0.0482138  0.0220924   5.25362e-05  6.27019e-05  0.000256926  0.000164683  1.22441e-05  1.59547e-06  0.000288177  3.11185e-05  0.0182234   0.164408    0.0744165   9.03883e-06  0.000330152  9.19933e-05  0.01456      0.00542846   0.0177552  0.034149    0.0572591   0.00187337   0.610741    0.0687738  21.6177
0.136147   0.394693   0.467314    0.000928291  0.000918155  0.000614889  0.000504806  3.30304e-05  1.74665e-06  0.000440694  4.44249e-05  0.0168924   0.185933    0.0279186   1.74486e-05  0.00118014   0.000109559  0.0185887    0.00927588   0.115852   0.0392508   0.0939251   0.00157724   0.48784     0.024311   20.67
0.27622    0.353811   0.360801    0.000394792  0.0087729    0.00320391   0.000953241  6.13896e-05  1.46375e-06  0.000304582  3.18644e-05  0.0911158   0.167637    0.0166367   8.49561e-06  0.000774618  6.99548e-05  0.0122782    0.0151354    0.0831648  0.0268721   0.0377385   0.000732899  0.543279    0.0354739  20.8397
0.210392   0.521258   0.26749     0.000246347  0.000613734  0.00657255   0.00216686   1.92734e-05  1.29402e-06  0.000335353  3.1374e-05   0.0113688   0.151197    0.0118689   7.88345e-06  0.000440814  9.69652e-05  0.00557692   0.00644951   0.0848387  0.0829517   0.0539414   0.000959614  0.581175    0.0573492  17.3515
0.204664   0.444648   0.348621    0.000383959  0.00168275   0.00832274   0.00191789   5.04604e-05  1.08329e-06  0.000216784  2.11745e-05  0.0144444   0.118256    0.042589    6.34918e-06  0.000269637  0.000205773  0.014926     0.00600221   0.133221   0.0403323   0.0384637   0.00282247   0.577931    0.0600407  16.4651
0.169595   0.502946   0.324318    0.00112316   0.00201746   0.0127199    0.00335782   5.67404e-06  1.21428e-06  0.000280127  2.99601e-05  0.0175841   0.170975    0.0097138   1.33305e-05  0.000386058  9.99181e-05  0.00809165   0.00448632   0.0384453  0.063148    0.048416    0.001813     0.620433    0.0661591  12.9599
0.58775    0.228329   0.183315    0.000272036  0.00033393   0.0120948    0.00299237   4.37091e-06  1.3705e-06   0.000243974  2.27481e-05  0.0190427   0.128755    0.0179591   1.66854e-05  0.000200591  0.000169361  0.00465936   0.00433333   0.151797   0.0717105   0.0330107   0.00120618   0.551779    0.0995471  11.8881
0.161736   0.464914   0.372279    0.000445729  0.000625829  0.0168533    0.00284488   1.36615e-05  1.43007e-06  0.000299289  3.65509e-05  0.014739    0.166672    0.0266016   1.81284e-05  0.000538286  0.000178468  0.0374048    0.00980344   0.0412966  0.0308829   0.051411    0.00205223   0.598352    0.0735325  9.13857
0.205287   0.476454   0.316845    0.000668939  0.000745463  0.00814007   0.00953949   1.15351e-06  1.03149e-06  0.000294659  2.73653e-05  0.0178147   0.175394    0.0395452   1.4549e-05   0.000316746  0.00016019   0.00845602   0.0040599    0.0569625  0.0425175   0.0716246   0.000517932  0.564612    0.0767028  8.60475
0.268882   0.416587   0.312611    0.000614073  0.00130589   0.0137275    0.00279674   6.94207e-06  1.21314e-06  0.00022596   2.91049e-05  0.00993988  0.137933    0.0188603   5.88054e-06  0.000325962  4.8276e-05   0.00650945   0.00349145   0.0548445  0.0290366   0.0182588   0.00202518   0.701934    0.0774427  7.43762
0.218261   0.441353   0.338583    0.000377361  0.00142593   0.00461312   0.00260002   0.000196226  4.91087e-07  0.00019189   1.6495e-05   0.0134238   0.0770069   0.013103    1.34888e-06  0.000126933  2.70778e-05  0.00357518   0.00280286   0.0444326  0.128458    0.0202815   0.000215599  0.688927    0.0765215  7.55485
0.233259   0.411123   0.354258    0.000488661  0.000872019  0.0123472    0.00246832   0.000113368  7.80644e-07  0.000242153  1.66429e-05  0.0188639   0.184512    0.0282558   1.92273e-06  0.000380568  3.80523e-05  0.00168024   0.00441619   0.105898   0.083799    0.0189325   0.000319382  0.537714    0.0723018  4.80889
