qqWlvH125  ggZvvH125  qqZvvH125   ggZllH125    qqZllH125    ZZ         WZ         WW          Zl          Zcc        Zcl         Zbc        Zbb        Zbl        Wl         Wcc       Wcl        Wbl       Wbc         Wbb        stopWt    stopt      stops      ttbar     0
15         15         15          15           15           15         15         15          15          15         15          15         15         15         15         15        15         15        15          15         15        15         15         15     360
8.77331    6.5605     31.0975     0.054928     0.254963     89.1241    27.574     1.44857     9.86052     61.8576    22.8427     75.6853    1338.71    73.2926    10.2505    25.757    21.8107    24.8555   28.0407     283.908    48.968    62.854     33.0166    476.106     2762.7
0.111145   0.127043   0.146362    0.00536668   0.00707113   3.28348    2.19279    0.140831    0.0356859   0.746449   0.118394    7.37442    17.9778    6.35661    0.111241   0.721066  0.37386    4.34552   3.22951     7.98192    5.10811   5.76614    1.75141    14.641     82.6532
0.0126685  0.0193649  0.00470654  0.097704     0.0277339    0.0368417  0.0795239  0.0972206   0.00361907  0.0120672  0.00518303  0.0974354  0.0134293  0.0867292  0.0108523  0.027995  0.0171411  0.174831  0.115172    0.0281145  0.104315  0.0917387  0.0530464  0.0307515     1.24818
0.0182621  0.0179376  0.0728891   0            0.000862413  0.68818    0.297174   0.150668    2.55996     14.1076    5.42658     13.427     332.936    17.6262    2.46486    3.45711   5.12017    4.4508    6.51197     19.5554    6.17291   20.2255    6.53316    83.6707     545.492
0.0528872  0.0394219  0.16489     0.000282159  0.00131131   0.848958   0.918961   0.227382    2.0552      13.5053    4.44885     13.5972    264.854    8.89092    1.84925    7.32004   3.76336    4.84214   6.3926      71.3857    4.30932   13.1605    8.67488    83.6502     514.954
0.152926   0.117529   0.396468    0.000303811  0.00358846   5.47385    1.53103    0.320533    1.66752     11.7354    4.0431      13.7528    233.346    16.6304    1.60002    4.99324   3.75433    1.61875   4.94324     61.9711    7.47263   9.08668    4.65762    76.3973     465.666
0.275735   0.229008   0.907844    0.000930873  0.00590771   23.3127    7.32755    0.38526     1.24227     7.35669    2.98926     13.2437    158.364    9.74262    1.37472    3.76861   2.791      5.16511   5.97264     45.5398    9.92839   7.07062    4.05372    68.4535     379.502
0.445911   0.418887   1.68083     0.00237051   0.0141855    29.8049    8.95737    0.208281    0.754349    4.28123    1.83099     5.98121    97.9963    5.73381    0.969511   1.92969   2.04883    3.5227    0.21535     21.9156    4.0572    2.96931    2.65569    48.1853     246.58
0.592411   0.586114   2.07764     0.00503145   0.0170008    13.7398    2.80079    0.0524465   0.527796    3.12532    1.2766      3.06986    62.2666    6.69811    0.758425   1.00912   1.47567    0.340248  1.12081     15.9097    3.3174    4.20837    2.136      35.8505     162.962
0.700329   0.652412   2.38061     0.00388862   0.014896     6.75486    2.11741    0.0263632   0.373891    2.21339    0.950645    2.84807    47.4746    1.7609     0.608605   0.678623  1.13753    1.52429   1.20257     10.254     2.33851   3.6039     1.4696     21.9938     113.084
0.669445   0.645123   2.63568     0.00383419   0.0194243    3.78522    1.1068     0.0236333   0.229404    1.54224    0.599806    2.54785    33.4892    2.77777    0.244114   0.72239   0.647744   0.657414  0.738449    8.22302    1.99859   0.489214   1.18447    15.975     80.9558
0.74665    0.689867   2.70053     0.00815499   0.0174887    2.54572    1.24029    0.0115028   0.140402    1.0798     0.391202    1.9868     30.4443    1.43086    0.132326   0.54605   0.322408   1.01003   0.605425    5.97294    1.274     2.2354     1.08654    12.7563     69.375
0.751561   0.642208   2.8857      0.00260072   0.0233129    0.452688   0.237612   0.00617763  0.0949582   0.867222   0.264465    1.33009    22.6434    0.166383   0.0771974  0.346704  0.239405   0.267399  -0.0574642  7.13252    1.69401   0.292261   0.483768   8.82353     49.6677
0.809213   0.665172   2.81939     0.00423932   0.0209305    0.456684   0.856624   0.00347477  0.065474    0.604605   0.186128    1.35517    19.829     0.269021   0.0542586  0.252872  0.164022   0.661558  0.21358     5.58752    2.21754   0          0.0812009  6.80334     43.981
0.883881   0.590651   2.93391     0.00703725   0.028379     0.466985   0          0.00712439  0.0521451   0.448896   0.154585    1.19851    11.6013    0.495797   0.0554345  0.282936  0.144925   0.606903  0           4.2958     0.787907  -0.487728  0          5.50402     30.0594
0.893013   0.533401   2.99647     0.00808913   0.0290761    0.359487   0          0.00542744  0.0391946   0.333185   0.116521    0.918462   9.73353    0.407642   0.0269885  0.181031  0.0762203  0.277762  0           2.76423    0.989224  0          0          3.24578     23.9347
0.872954   0.459191   3.0845      0.0057346    0.03226      0.156633   0.0863082  0.0169012   0.0306001   0.324905   0.0861381   0.274285   8.54486    0.466506   0.0172856  0.124958  0.068372   -0.27639  0.181533    1.26793    0.492274  0          0          2.698     19.0157
0.908129   0.273573   3.3602      0.00243033   0.0263392    0.277462   0.0960855  0.0033991   0.0273519   0.331847   0.0778007   0.154248   5.18273    0.195695   0.0175104  0.143621  0.056745   0.186814  0           2.13273    1.91813   0          0          2.09846     17.4713


qqWlvH125  ggZvvH125 qqZvvH125  ggZllH125    qqZllH125   ZZ          WZ           WW           Zl           Zcc         Zcl         Zbc        Zbb        Zbl         Wl          Wcc         Wcl         Wbl         Wbc          Wbb        stopWt      stopt       stops       ttbar      signal    background
0.2        0.2       0.2        0.2          0.2         0.0526316   0.0526316    0.0526316    0.0526316    0.0526316   0.0526316   0.0526316  0.0526316  0.0526316   0.0526316   0.0526316   0.0526316   0.0526316   0.0526316    0.0526316  0.0526316   0.0526316   0.0526316   0.0526316  75        285
0.1877     0.140358  0.665312   0.00117515   0.00545478  0.0328149   0.0101526    0.000533354  0.00363058   0.0227756   0.00841054  0.0278668  0.492904   0.0269859   0.00377417  0.00948356  0.00803056  0.00915164  0.0103244    0.104533   0.0180297   0.0231424   0.0121565   0.175299   46.7412   2715.96
0.279971   0.320017  0.368681   0.0135185    0.017812    0.0399177   0.026658     0.0017121    0.000433838  0.00907468  0.00143933  0.0896518  0.218559   0.0772782   0.00135237  0.0087661   0.00454507  0.0528291   0.0392616    0.0970373  0.0621      0.0700997   0.0212921   0.177993   0.396988  82.2562
0.0781149  0.119405  0.0290209  0.60245      0.171009    0.033924    0.073226     0.0895212    0.00333246   0.0111115   0.00477256  0.089719   0.0123658  0.0798606   0.00999285  0.0257779   0.0157836   0.160985    0.106051     0.025888   0.0960537   0.0844734   0.0488454   0.0283161  0.162178  1.08601
0.166093   0.163141  0.662922   0            0.0078436   0.00126183  0.000544892  0.000276261  0.00469388   0.0258674   0.00995005  0.0246194  0.610464   0.032319    0.00451951  0.00633888  0.00938823  0.00816089  0.0119402    0.0358563  0.0113185   0.037085    0.0119791   0.153417   0.109951  545.382
0.204361   0.15233   0.637151   0.00109029   0.00506703  0.00164944  0.00178545   0.00044178   0.00399305   0.0262394   0.00864367  0.026418   0.514585   0.0172742   0.00359291  0.0142221   0.00731183  0.00940779  0.0124202    0.138695   0.00837257  0.0255695   0.0168544   0.162524   0.258793  514.695
0.22797    0.175203  0.591024   0.000452898  0.0053494   0.0117718   0.00329257   0.000689325  0.0035861    0.0252377   0.00869492  0.0295762  0.501824   0.0357646   0.00344094  0.0107383   0.00807391  0.00348122  0.0106307    0.133272   0.0160703   0.0195414   0.0100165   0.164297   0.670815  464.996
0.194258   0.161339  0.639585   0.00065581   0.00416204  0.0616604   0.0193808    0.00101898   0.00328571   0.0194579   0.00790638  0.0350286  0.418861   0.0257685   0.00363604  0.0099677   0.00738199  0.0136613   0.0157972    0.120449   0.0262599   0.0187013   0.0107218   0.181055   1.41943   378.082
0.174036   0.163488  0.656015   0.000925191  0.00553649  0.122142    0.0367079    0.000853549  0.00309137   0.0175448   0.00750352  0.0245114  0.401595   0.0234975   0.00397312  0.00790799  0.00839624  0.0144363   0.000882518  0.0898115  0.0166267   0.0121684   0.0108832   0.197466   2.56218   244.018
0.180712   0.178792  0.633775   0.00153482   0.00518602  0.0860439   0.0175396    0.00032844   0.00330526   0.019572    0.00799456  0.0192246  0.389937   0.0419461   0.00474955  0.0063195   0.00924121  0.00213076  0.00701894   0.0996327  0.0207748   0.0263544   0.0133765   0.22451    3.2782    159.684
0.186648   0.173878  0.634468   0.00103638   0.00397001  0.0617833   0.0193669    0.000241131  0.00341979   0.0202447   0.00869507  0.0260498  0.434226   0.0161061   0.0055666   0.00620702  0.0104044   0.0139419   0.0109993    0.0937881  0.0213892   0.032963    0.0134417   0.201166   3.75214   109.332
0.168477   0.162356  0.663313   0.000964939  0.00488845  0.04917     0.0143773    0.000306996  0.00297996   0.0200337   0.00779148  0.0330966  0.435025   0.0360832   0.00317104  0.00938384  0.00841419  0.0085398   0.00959245   0.106817   0.0259617   0.00635489  0.0153863   0.207515   3.97351   76.9823
0.179367   0.165726  0.648746   0.00195907   0.0042013   0.0390374   0.0190193    0.00017639   0.002153     0.0165582   0.0059989   0.0304666  0.466849   0.0219416   0.00202916  0.00837342  0.00494398  0.0154883   0.00928391   0.0915922  0.0195362   0.0342788   0.0166616   0.195612   4.16269   65.2123
0.174563   0.149164  0.670254   0.000604062  0.00541483  0.00997938  0.00523809   0.000136184  0.00209333   0.0191177   0.00583006  0.0293215  0.499168   0.00366787  0.0017018   0.00764299  0.00527762  0.00589474  -0.00126678  0.157234   0.037344    0.00644281  0.0106645   0.194512   4.30538   45.3623
0.187364   0.154013  0.652796   0.000981564  0.00484621  0.0115144   0.0215981    8.76094e-05  0.0016508    0.0152439   0.00469285  0.0341679  0.499949   0.00678283  0.00136802  0.00637566  0.00413549  0.0166799   0.00538499   0.140878   0.0559108   0           0.00204732  0.171533   4.31894   39.6621
0.198899   0.132914  0.660217   0.00158359   0.00638612  0.0182305   0            0.000278128  0.00203568   0.0175244   0.00603481  0.0467884  0.452901   0.0193553   0.0021641   0.0110455   0.0056577   0.0236928   0            0.167703   0.0307589   -0.0190403  0           0.21487    4.44386   25.6155
0.200225   0.119595  0.671847   0.00181369   0.00651923  0.0184592   0            0.000278692  0.00201259   0.0171086   0.0059832   0.0471618  0.499804   0.0209319   0.00138582  0.00929571  0.00391381  0.0142627   0            0.14194    0.0507954   0           0           0.166667   4.46005   19.4747
