qqWlvH125  ggZvvH125   qqZvvH125   ggZllH125    qqZllH125    ZZ         WZ         WW           Zl           Zcc        Zcl         Zbc        Zbb        Zbl        Wl          Wcc        Wcl         Wbl       Wbc       Wbb        stopWt    stopt      stops      ttbar
15         15          15          15           15           15         15         15           15           15         15          15         15         15         15          15         15          15        15        15         15        15         15         15
8.77331    6.5605      31.0975     0.054928     0.254963     89.1241    27.574     1.44857      9.86052      61.8576    22.8427     75.6853    1338.71    73.2926    10.2505     25.757     21.8107     24.8555   28.0407   283.908    48.968    62.854     33.0166    476.106
0.111145   0.127043    0.146362    0.00536668   0.00707113   3.28348    2.19279    0.140831     0.0356859    0.746449   0.118394    7.37442    17.9778    6.35661    0.111241    0.721066   0.37386     4.34552   3.22951   7.98192    5.10811   5.76614    1.75141    14.641
0.0126685  0.0193649   0.00470654  0.097704     0.0277339    0.0368417  0.0795239  0.0972206    0.00361907   0.0120672  0.00518303  0.0974354  0.0134293  0.0867292  0.0108523   0.027995   0.0171411   0.174831  0.115172  0.0281145  0.104315  0.0917387  0.0530464  0.0307515
0.0058866  0.00551352  0.0100805   0            0.000528678  0.236242   0.151916   0.0365499    0.0194122    0.359302   0.0560732   2.15152    10.4173    2.96236    0.0460706   0.237943   0.122456    1.97443   1.48008   2.37799    1.31478   3.53363    0.857049   5.28104
0.0101116  0.0093497   0.011459    0.000282159  0.000565667  0.357609   0.326828   0.0860667    0.0183296    0.411355   0.0544374   1.95397    7.89665    2.43559    0.0446744   0.451887   0.103583    1.63508   1.25926   4.13405    1.04241   2.35217    1.03435    6.203
0.0301344  0.0162807   0.0178584   0.000303811  0.000699246  0.741279   0.386364   0.0931182    0.0146281    0.30397    0.052757    1.89536    6.74184    2.9627     0.0381281   0.296866   0.126309    2.62248   1.14059   3.6291     1.50806   1.92268    0.55866    5.90629
0.0210709  0.0224552   0.0259407   0.000538769  0.00095287   1.6478     1.26433    0.0326703    0.0120626    0.253886   0.0417044   6.07041    6.17356    2.06019    0.0306933   0.271406   0.100115    1.23158   1.615     3.24144    3.64689   2.11274    0.534393   6.30129
0.0287356  0.0317959   0.0346615   0.000911547  0.00186811   1.93448    1.20047    0.0325892    0.00868309   0.17257    0.0347657   1.29428    4.42407    2.33707    0.0310391   0.172902   0.249082    0.89435   1.34782   2.1124     1.15749   1.10089    0.454911   4.6242
0.0382192  0.0417899   0.045499    0.00145174   0.00238713   1.20724    0.551969   0.00581614   0.00723587   0.151207   0.0271295   1.05768    3.37193    2.0877     0.0529309   0.128888   0.124124    1.15623   0.380474  1.92504    1.04005   1.49535    0.368611   4.39794
0.0351963  0.039271    0.0404807   0.00118479   0.00154798   0.834941   0.449001   0.00359054   0.00547448   0.125529   0.0218224   0.87178    3.17811    1.12156    0.0381629   0.0949832  0.0664244   0.588157  0.619095  1.22081    0.895292  1.01327    0.313483   2.82591
0.028798   0.0453657   0.0439789   0.00111667   0.00211078   0.880454   0.464268   0.00748565   0.00418513   0.0978358  0.0183434   0.88464    2.63154    0.790197   0.0119255   0.110455   0.0550986   0.297996  0.336814  1.3527     0.972349  0.786494   0.350864   2.51767
0.0316448  0.0407627   0.0510739   0.00182935   0.002108     0.618945   0.588517   0.00346792   0.00294034   0.0825741  0.0135509   0.579261   2.36831    0.533129   0.00817559  0.117698   0.0226442   0.42915   0.273711  1.07925    0.647491  1.28537    0.258766   2.16288
0.0313223  0.0402411   0.0471387   0.000928392  0.00219778   0.311325   0.137559   0.00288202   0.00248065   0.0702617  0.010314    0.436055   1.9964     0.636724   0.00492282  0.0600204  0.0406196   0.277999  0.342468  1.2275     0.886477  0.292261   0.175796   2.12418
0.0319901  0.0397568   0.0436309   0.00124517   0.00183899   0.254569   0.621074   0.000684401  0.0019947    0.0624279  0.0084527   0.403712   1.89472    0.317679   0.00847906  0.0545693  0.0150577   0.842456  0.246787  1.00947    0.964531  0          0.0574188  1.71885
0.0338359  0.0378362   0.0440104   0.00168542   0.00221871   0.214259   0          0.00540288   0.0016488    0.0515295  0.00777763  0.468595   2.20817    0.236121   0.0179816   0.072324   0.0204774   0.478245  0         0.895807   0.468385  0.487728   0          1.47247
0.0289481  0.0356507   0.0398419   0.00268497   0.00220918   0.143012   0          0.0037531    0.00138124   0.0439773  0.00627323  0.456113   1.04369    0.261185   0.00205026  0.0404816  0.00768579  0.186832  0         0.751374   0.500948  0          0          1.27904
0.0271408  0.0290622   0.0392801   0.00245427   0.00242774   0.103403   0.0863082  0.0108485    0.0012827    0.0406396  0.00514512  0.179271   1.12789    0.219379   0.00193631  0.0338648  0.0156545   0.27639   0.181533  0.442117   0.350731  0          0          0.963492
0.0280061  0.0220589   0.0393846   0.000958075  0.00190047   0.197435   0.0960855  0.00227869   0.000949286  0.0464004  0.0119119   0.0891386  0.607472   0.107006   0.00159389  0.0338907  0.00773266  0.186814  0         0.739772   0.897874  0          0          1.2143




qqWlvH125  ggZvvH125  qqZvvH125   ggZllH125    qqZllH125    ZZ           WZ           WW           Zl           Zcc          Zcl          Zbc         Zbb         Zbl         Wl           Wcc          Wcl          Wbl          Wbc          Wbb         stopWt      stopt       stops        ttbar       signal     background
0.2        0.2        0.2         0.2          0.2          0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316   0.0526316   0.0526316   0.0526316    0.0526316    0.0526316    0.0526316    0.0526316    0.0526316   0.0526316   0.0526316   0.0526316    0.0526316   33.541     65.3835
0.0708018  0.0395905  0.889545    2.77527e-06  5.97959e-05  0.00372258   0.000356331  9.83406e-07  4.55673e-05  0.00179325   0.000244539  0.00268458  0.839899    0.00251753  4.92429e-05  0.000310917  0.000222943  0.000289534  0.000368495  0.0377754   0.00112377  0.00185148  0.00051088   0.106233    32.9717    1460.74
0.247095   0.322839   0.42849     0.000576097  0.00100014   0.0133989    0.00597578   2.46489e-05  1.58268e-06  0.00069247   1.74205e-05  0.067586    0.401674    0.0502171   1.53791e-05  0.000646176  0.000173708  0.0234684    0.0129621    0.07918     0.0324281   0.041321    0.00381221   0.266405    0.223593   28.3661
0.0147607  0.0344894  0.00203732  0.877971     0.070742     0.0131283    0.0611681    0.091421     0.000126684  0.00140845   0.000259834  0.0918254   0.00174436  0.0727545   0.00113913   0.00758037   0.00284189   0.295642     0.128299     0.00764522  0.10525     0.0814019   0.0272171    0.00914665  0.104273   0.32154
0.207563   0.182087   0.608675    0            0.00167419   0.000315679  0.000130539  7.55621e-06  2.13148e-06  0.000730216  1.77845e-05  0.0261832   0.613822    0.0496372   1.20055e-05  0.000320242  8.48188e-05  0.0220503    0.0123909    0.0319854   0.00977773  0.0706275   0.00415473   0.15775     0.0129208  13.2964
0.318152   0.272014   0.408591    0.000247733  0.000995673  0.0009118    0.00076159   5.28145e-05  2.39546e-06  0.00120647   2.11289e-05  0.0272219   0.444599    0.0422952   1.42298e-05  0.00145594   7.64997e-05  0.0190617    0.0113061    0.121852    0.00774747  0.0394475   0.00762812   0.274338    0.0179268  11.8429
0.60837    0.177578   0.213662    6.18372e-05  0.000327569  0.00453203   0.00123118   7.15153e-05  1.76484e-06  0.000762064  2.29557e-05  0.0296287   0.374875    0.0723944   1.199e-05    0.00072686   0.000131583  0.0567223    0.0107297    0.108624    0.0187572   0.030489    0.0025741    0.287713    0.0386348  11.0112
0.273669   0.310808   0.414784    0.000178922  0.000559663  0.0173987    0.010243     6.83934e-06  9.32373e-07  0.000413034  1.11448e-05  0.236126    0.244219    0.0271971   6.03664e-06  0.000472005  6.42253e-05  0.00971926   0.0167129    0.0673262   0.0852223   0.0286022   0.00182991   0.254429    0.0402782  12.4924
0.271404   0.332291   0.394885    0.000273108  0.00114705   0.0591762    0.0227888    1.67945e-05  1.19225e-06  0.000470922  1.91126e-05  0.0264896   0.309502    0.0863699   1.52348e-05  0.000472736  0.000981078  0.0126483    0.0287265    0.070562    0.0211862   0.0191649   0.00327244   0.338136    0.0551584  7.95226
0.276384   0.33044    0.3917      0.000398774  0.00107821   0.0312413    0.00653088   7.25124e-07  1.12234e-06  0.000490102  1.57771e-05  0.0239801   0.243725    0.0934284   6.00566e-05  0.000356096  0.000330259  0.028657     0.00310308   0.0794369   0.0231873   0.0479323   0.00291259   0.414611    0.0726985  6.83013
0.280046   0.348642   0.370452    0.000317336  0.00054171   0.0276857    0.00800641   5.11991e-07  1.19022e-06  0.000625794  1.89125e-05  0.0301826   0.401126    0.0499561   5.78397e-05  0.000358292  0.000175226  0.0137382    0.0152215    0.0591888   0.0318326   0.040775    0.00390275   0.317146    0.0665092  5.01797
0.171802   0.426342   0.400675    0.000258317  0.000922973  0.0399465    0.0111071    2.88751e-06  9.02574e-07  0.000493243  1.7339e-05   0.0403272   0.356849    0.0321763   7.32855e-06  0.000628689  0.000156439  0.004576     0.00584582   0.0942905   0.0487202   0.0318754   0.0063437    0.326635    0.0694782  4.40522
0.189682   0.314737   0.494105    0.000633892  0.000841711  0.0251706    0.0227566    7.90183e-07  5.68047e-07  0.000447999  1.2065e-05   0.0220464   0.368525    0.0186747   4.39165e-06  0.00091018   3.36902e-05  0.0121006    0.00492237   0.0765303   0.0275459   0.108554    0.0043995    0.307365    0.072659   3.90126
0.2032     0.335395   0.460226    0.000178517  0.00100043   0.00819787   0.00160048   7.02533e-07  5.2048e-07   0.000417552  8.99761e-06  0.0160826   0.337107    0.0342906   2.04975e-06  0.000304699  0.000139555  0.00653671   0.00992003   0.127443    0.0664673   0.00722462  0.00261391   0.381642    0.0694851  3.43846
0.226782   0.350268   0.421857    0.000343585  0.000749438  0.00648743   0.0386143    4.68903e-08  3.98306e-07  0.000390138  7.15241e-06  0.0163157   0.359378    0.0101027   7.19709e-06  0.000298097  2.26975e-05  0.0710486    0.00609686   0.102011    0.0931309   0           0.000330042  0.295759    0.0671756  3.1606
0.253226   0.316642   0.428414    0.000628304  0.00108882   0.00517985   0            3.29374e-06  3.06743e-07  0.000299606  6.82549e-06  0.0247762   0.550179    0.00629083  3.64834e-05  0.000590206  4.73139e-05  0.0258071    0            0.0905457   0.024754    0.0268407   0            0.244643    0.0672393  2.97701
0.22597    0.342725   0.428045    0.00194397   0.00131605   0.00527662   0            3.63405e-06  4.92208e-07  0.000498962  1.0153e-05   0.0536729   0.281031    0.0175998   1.0845e-06   0.000422791  1.52401e-05  0.00900561   0            0.145654    0.0647435   0           0            0.422064    0.0608969  1.96877
