qqWlvH125  ggZvvH125  qqZvvH125   ggZllH125    qqZllH125   ZZ        WZ         WW          Zl          Zcc         Zcl         Zbc       Zbb         Zbl        Wl          Wcc        Wcl       Wbl        Wbc        Wbb        stopWt     stopt      stops      ttbar     0
15         15         15          15           15          15        15         15          15          15          15          15        15          15         15          15         15        15         15         15         15         15         15         15     360
10.0641    11.4198    29.9956     0.0768613    0.292204    97.4455   38.9308    4.18281     17.0032     98.39       43.067      150.897   2106.66     134.539    19.0439     51.7932    43.4851   66.1497    56.3819    712.22     251.318    275.418    43.827     3400.53     7663.13
0.152414   0.167173   0.144275    0.00561243   0.00879069  3.68598   2.07642    0.288382    0.0595919   0.884715    0.281964    8.54604   20.0575     9.01955    0.165178    1.18641    0.529303  5.78537    4.44459    14.2619    11.1954    11.6166    1.93584    38.244     134.743
0.0151443  0.0146389  0.00480987  0.0730202    0.0300841   0.037826  0.0533361  0.0689444   0.00350474  0.00899192  0.00654711  0.056635  0.00952099  0.0670406  0.00867354  0.0229066  0.012172  0.0874588  0.07883    0.0200245  0.0445466  0.0421781  0.0441699  0.0112465     0.822251
0.116918   0.0824239  0.122159    0.000498485  0.00122948  1.0116    0.785375   0.572109    3.19585     15.667      7.91935     25.6473   403.736     37.139     3.57785     6.37295    8.44593   14.6407    6.81723    53.2937    42.9559    59.2085    9.84106    744.417     1445.57
0.0731629  0.101099   0.300322    0.00124408   0.00303782  3.10997   2.13836    0.706927    3.84292     21.3811     9.06058     27.3173   428.576     22.4744    3.92007     12.1417    9.11399   12.307     13.0274    144.316    35.7851    57.2318    9.48747    555.093     1371.51
0.181067   0.242855   0.566869    0.00138046   0.00790681  9.58984   4.00096    0.622846    2.75759     16.6398     6.83307     33.011    347.247     16.9303    3.07789     10.214     6.371     11.7136    10.7195    156.895    34.7551    41.8783    4.93684    509.926     1229.12
0.343646   0.519781   1.0275      0.00233974   0.00759282  14.443    6.13991    0.671426    2.02786     12.9968     5.36812     17.1957   254.757     13.6323    2.24289     7.69936    5.09772   3.71579    8.69045    115.479    30.7315    40.6706    4.63542    412.518     960.614
0.447195   0.695668   1.54683     0.00374768   0.0172541   15.7485   5.53592    0.558211    1.37667     8.34213     3.69184     13.4506   164.806     15.0288    1.70132     4.15464    4.28328   6.6076     5.09098    73.3413    26.336     21.5479    4.40234    358.679     737.394
0.557675   0.951172   1.89837     0.00795842   0.0160601   14.7017   5.74184    0.285425    1.04256     5.70733     2.7916      7.50049   124.803     6.84633    1.25317     2.83241    2.71678   2.61012    4.26903    38.7162    20.9241    16.9879    3.19634    259.631     525.989
0.688293   1.07242    2.10572     0.00636915   0.0167045   9.6543    3.59545    0.165432    0.788037    4.668       2.08444     4.64164   87.2727     5.70673    1.12337     1.9038     2.12464   2.42527    2.7039     33.166     16.2388    13.6374    2.4202     187.902     386.112
0.722142   1.10613    2.36707     0.00551835   0.0182191   9.77159   2.48146    0.19946     0.637433    3.45643     1.64417     6.54471   77.0643     3.89504    0.777451    1.82397    1.83625   5.03549    0.594459   21.8054    9.25431    9.41412    2.54607    114.975     277.976
0.858256   1.06576    2.53553     0.00872998   0.0243511   6.02457   3.74854    0.0680412   0.440052    2.97037     1.17186     3.73933   62.9368     2.27679    0.588823    1.29475    1.30968   2.15277    1.6119     17.5299    8.38039    7.27607    0.788982   84.1431     212.945
0.954709   1.04867    2.61707     0.00966755   0.0262188   5.79641   1.61587    0.0743434   0.312516    2.05576     0.829635    3.52158   47.5442     3.6691     0.29371     0.975813   0.724129  1.62315    0.774219   13.809     4.83194    3.23505    1.14329    58.2845     155.771
0.965114   1.01965    2.73849     0.00619634   0.0304258   1.94261   1.24319    0.139405    0.195347    1.5982      0.585578    3.13873   32.899      2.31199    0.167617    0.598728   0.537017  1.14786    0.93778    13.2801    8.49415    3.23434    0.216947   45.677     123.105
0.995712   1.01592    2.92307     0.00714314   0.0294109   2.47629   0.74451    0.0712115   0.147724    1.07683     0.43006     2.1051    30.5167     2.74642    0.129522    0.678568   0.330559  0.19712    0.550502   10.1951    3.62585    1.09571    0.115638   28.942     91.1467
1.08009    0.871422   2.94213     0.0065621    0.0284961   1.6609    0.600256   0.0158608   0.103909    0.69729     0.294928    0.664616  19.1648     0.87786    0.0789322   0.492523   0.278862  0.131473   0.311598   8.62243    3.26792    0          0.0964448  20.4077     62.697
1.05539    0.902731   2.99226     0.00624293   0.0348005   1.03516   0.414387   0.0229977   0.0735448   0.639598    0.19534     1.79456   16.2058     0.510005   0.0651902   0.323402   0.195667  0.568106   0.0916173  6.50279    3.99073    0          0          10.4885     48.1088
1.02473    0.724104   3.31216     0.00326292   0.0304959   0.4791    0.144773   0.00911503  0.0612281   0.493303    0.166414    0.624221  9.12978     0.493636   0.0461086   0.286604   0.119625  1.2736     0.191318   5.26855    1.74605    0          0          9.44961     35.0778



qqWlvH125 ggZvvH125 qqZvvH125  ggZllH125    qqZllH125   ZZ           WZ          WW           Zl           Zcc         Zcl         Zbc        Zbb        Zbl        Wl          Wcc         Wcl         Wbl         Wbc         Wbb        stopWt     stopt      stops       ttbar      signal    background
0.2       0.2       0.2        0.2          0.2         0.0526316    0.0526316   0.0526316    0.0526316    0.0526316   0.0526316   0.0526316  0.0526316  0.0526316  0.0526316   0.0526316   0.0526316   0.0526316   0.0526316   0.0526316  0.0526316  0.0526316  0.0526316   0.0526316  75        285
0.194106  0.220253  0.578523   0.00148242   0.00563572  0.0128028    0.00511488  0.000549554  0.00223395   0.0129269   0.00565831  0.0198254  0.276781   0.0176763  0.00250206  0.00680479  0.00571324  0.00869101  0.00740767  0.0935742  0.0330191  0.0361855  0.00575816  0.446775   51.8486   7611.28
0.318681  0.34954   0.301663   0.011735     0.0183804   0.0274531    0.0154651   0.00214786   0.000443839  0.00658933  0.00210006  0.0636507  0.149388   0.0671774  0.00123024  0.00883635  0.00394223  0.0430893   0.0331032   0.106222   0.083383   0.0865201  0.0144181   0.28484    0.478265  134.265
0.109982  0.106312  0.0349307  0.530295     0.21848     0.0552565    0.0779137   0.100714     0.00511975   0.0131355   0.00956406  0.0827328  0.0139083  0.0979333  0.0126704   0.0334621   0.0177809   0.12776     0.115155    0.0292519  0.065074   0.061614   0.0645237   0.016429   0.137697  0.684553
0.361719  0.255002  0.377933   0.0015422    0.00380374  0.000699951  0.00054342  0.000395856  0.00221129   0.0108404   0.00547959  0.017746   0.279355   0.0256974  0.0024756   0.0044096   0.00584395  0.0101303   0.00471701  0.0368752  0.0297222  0.0409678  0.00680927  0.51508    0.323229  1445.24
0.152784  0.211122  0.627153   0.00259797   0.00634378  0.00226834   0.00155967  0.000515617  0.00280294   0.0155949   0.00660859  0.0199246  0.312594   0.0163923  0.00285921  0.00885589  0.00664754  0.00897646  0.0095019   0.105261   0.0261009  0.0417436  0.00691995  0.404873   0.478866  1371.03
0.181053  0.242836  0.566825   0.00138035   0.00790619  0.00780856   0.00325779  0.000507154  0.00224538   0.013549    0.00556385  0.0268793  0.282747   0.0137855  0.00250618  0.00831678  0.00518761  0.00953783  0.00872838  0.127752   0.0282994  0.0340995  0.00401984  0.415209   1.00008   1228.12
0.180785  0.273445  0.540545   0.00123089   0.00399441  0.015065     0.00640433  0.000700341  0.00211519   0.0135565   0.0055993   0.0179362  0.265728   0.0142194  0.00233948  0.00803093  0.00531725  0.00387581  0.00906471  0.120452   0.032055   0.0424221  0.00483505  0.430283   1.90086   958.713
0.164974  0.256638  0.57064    0.00138255   0.00636519  0.0214358    0.00753511  0.000759798  0.00187383   0.0113547   0.00502508  0.018308   0.224323   0.0204562  0.00231572  0.00565501  0.00583011  0.00899381  0.00692949  0.0998271  0.0358468  0.0293295  0.00599216  0.488209   2.71069   734.683
0.162529  0.27721   0.553261   0.0023194    0.00468056  0.0281341    0.010988    0.000546208  0.00199511   0.0109219   0.00534219  0.0143534  0.238831   0.0131016  0.00239815  0.00542029  0.00519901  0.0049949   0.0081695   0.0740899  0.0400417  0.0325092  0.00611673  0.496847   3.43124   522.557
0.176962  0.275721  0.541385   0.00163752   0.00429476  0.0252584    0.0094067   0.000432816  0.00206173   0.0122128   0.00545348  0.0121438  0.22833    0.0149304  0.00293905  0.00498087  0.00555865  0.00634519  0.00707416  0.0867715  0.0424852  0.0356793  0.00633192  0.491604   3.88951   382.222
0.171161  0.262173  0.561039   0.00130795   0.00431826  0.0356944    0.00906446  0.000728602  0.00232846   0.0126259   0.00600594  0.023907   0.281506   0.0142281  0.00283993  0.00666273  0.00670759  0.018394    0.00217148  0.0796524  0.0338048  0.0343886  0.00930047  0.419989   4.21908   273.757
0.191037  0.237224  0.564376   0.00194318   0.00542024  0.0289014    0.0179827   0.000326411  0.00211104   0.0142496   0.00562171  0.0179385  0.301924   0.0109223  0.00282473  0.00621124  0.00628286  0.0103274   0.00773269  0.0840953  0.0402028  0.0349051  0.00378494  0.403656   4.49263   208.453
0.205034  0.225214  0.562045   0.00207621   0.00563078  0.0383578    0.010693    0.000491968  0.00206808   0.013604    0.00549012  0.0233041  0.314624   0.0242803  0.00194363  0.00645745  0.00479193  0.0107412   0.0051234   0.0913812  0.0319754  0.021408   0.00756573  0.385698   4.65634   151.114
0.20276   0.214218  0.575328   0.00130179   0.00639214  0.0164147    0.0105047   0.00117795   0.00165065   0.0135045   0.00494803  0.0265217  0.277991   0.0195359  0.00141634  0.00505915  0.0045377   0.00969922  0.00792408  0.112215   0.0717741  0.0273296  0.00183317  0.385963   4.75988   118.346
0.200294  0.204359  0.587994   0.00143689   0.00591619  0.0287355    0.00863947  0.000826355  0.00171422   0.0124958   0.00499052  0.0244281  0.354123   0.0318701  0.001503    0.00787426  0.00383589  0.00228743  0.00638816  0.118306   0.0420752  0.0127149  0.00134189  0.33585    4.97126   86.1754
0.219143  0.176806  0.596938   0.00133141   0.00578167  0.0287511    0.0103908   0.000274559  0.00179872   0.0120705   0.00510536  0.0115049  0.331753   0.0151962  0.00136636  0.00852583  0.00482725  0.00227587  0.00539393  0.149259   0.0565694  0          0.00166951  0.353268   4.9287    57.7683
